1.	Koje je doslovno značenje grčke riječi politeia?
54.	Koji je teoretičar klasične ekonomije prvi zastupao ideju da će pri punoj tržišnoj slobodi svaki sudionik tržišta, slijedeći vlastiti interes, istodobno pridonositi i općoj dobrobiti?

55.	Kojom se vrstom monetarne politike služi središnja banka kako bi zaustavila ubrzani rast opće razine cijena?

56.	Kako se naziva proračunska neravnoteža uzrokovana prevelikom javnom potrošnjom?

57.	O kojoj je vrsti oporezivanja riječ kada pojedinac plaća porez na naslijeđenu imovinu?

58.	Kojemu elementu marketinškoga spleta pripadaju plaćeni oglasi na društvenim mrežama?

59.	Kako se naziva vrsta nematerijalne imovine koja isključivo njezinu vlasniku daje pravo na proizvodnju i prodaju inovacije, a zaštićena je tijekom ograničenoga vremenskog razdoblja?

60.	Koja tercijarna djelatnost danas ima najveći udio u hrvatskome bruto društvenome proizvodu?
