1.  Koja je od navedenih aktivnosti primjer političkoga djelovanja?
     A.  u nacionalnim parlamentarnim
     B.  u predsjedničkim
     C.  u lokalnim

17.  Koja se od navedenih sloboda zajamčenih Ustavom Republike Hrvatske ne može ograničiti ni u kojemu slučaju?
     A.  sloboda vjeroispovijesti
     B.  sloboda kretanja
     C.  sloboda govora

18.  Komu se prema Ustavu Republike Hrvatske može ograničiti pravo na štrajk kada nema izvanrednih okolnosti?
     A.  policajcima
     B.  strojovođama
     C.  civilnim pilotima

19.  Kojim se načelom vodi uspješan gospodarstvenik usklađujući ograničene mogućnosti i neograničene potrebe?
     A.  elastičnosti
     B.  akumulacije
     C.  ekonomičnosti

20.  Na koje će gospodarsko pitanje proizvođač odgovoriti nakon provedbe istraživanja i prikupljanja podataka o potencijalnim kupcima?
      A.  Što proizvoditi?
      B.  Kako proizvoditi?
      C.  Za koga proizvoditi?

21.  Kojemu proizvodnomu činitelju pripada prirodni plin?
     A.  radu
     B.  zemlji
     C.  kapitalu

22.  Kako se naziva burzovni posrednik vrijednosnim papirima koji na burzi posluje s brokerima za svoj račun?
      A.  diler
      B.  džober
      C.  dioničar

23.  Općina je organizirala i financirala zaprašivanje komaraca na svojemu području. Kojoj vrsti dobra pripada takva akcija općine?
     A. javnomu
     B. privatnomu
     C. slobodnomu

24. U kojemu se od navedenih gospodarskih sustava pod utjecajem ponude i potražnje formiraju cijene i proizvodi ono što je društvu potrebno?
     A. u tržišnomu
     B. u običajnomu
     C. u komandnomu

25.  Koja banka osigurava stabilnost domaće valute u Republici Hrvatskoj?
     A.  Hrvatska narodna banka
     B.  Hrvatska poštanska banka
     C.  Hrvatska banka za obnovu i razvoj

26.  Poduzetnik je svoj patent u proizvodnji električnoga automobila iskoristio u okviru poslovnoga partnerskog odnosa sa svjetski poznatim proizvođačem automobila. Kako se naziva ostvarenje te njegove ideje?
      A.   imitacija
      B.   invencija
      C.   inovacija

27.  Koja osoba vodi nabavni odjel organizacije, ali ne preuzima rizik cijeloga njezina poslovanja?
     A.  skladištar
     B.  menadžer
     C.  računovođa

28.   Proizvođač okvira za naočale odlučio je promijeniti svoju ponudu te je istraživanjem tržišta prikupio informacije o potrebama i željama potencijalnih kupaca. Kojoj poslovnoj orijentaciji pripada takav poslovni pristup?
     A.   prodajnoj
     B.   proizvodnoj
     C.   marketinškoj

29.  Turistička agencija je na svoj službeni automobil postavila pano s najnovijom ponudom putovanja. Koji je to oblik promidžbenih aktivnosti?
     A.  publicitet
     B.  unapređivanje prodaje
     C.  višestruko promidžbena poruka

30.  Koja od navedenih socioekonomskih skupina stanovnika živi u favelama Brazila?
      A.  državni službenici
      B.  bogati poduzetnici
      C.  siromašni građani

31.  Kako se naziva znanost koja proučava procese nadmetanja i borbe za vlast u državi te djelovanje i učinkovitost državnih institucija i nevladinih organizacija?

32.   Koji tip vlasti prema Maxu Weberu temelji svoj legitimitet na vjerovanju u iznimne i nadnaravne osobine vođe?

33. Kako se nazivaju interesne organizacije radnika koje kolektivnim pregovaranjem s vladom i poslodavcima osiguravaju zaštitu prava radnika u državi?

34.  Kako se naziva društveni pokret koji se zalaže za unapređenje položaja žena, uklanjanje spolne diskriminacije te promicanje rodne jednakosti?

35.  Važne pretpostavke demokratskih izbora su mogućnost stranačkoga utjecaja, javnoga predstavljanja programa, financiranja stranačkih kampanja i argumentiranih stranačkih rasprava. Kako se nazivaju izbori u kojima se pojavljuje više stranaka, ali su većini stranaka navedene pretpostavke onemogućene ili ograničene?

36. Kako se naziva regionalna stranka u Republici Hrvatskoj koja jedina od 1992. godine do danas ima status parlamentarne stranke?

37.   Kako se naziva jedina institucija Europske unije čije članove građani biraju izravno?

38.  Na kojim sve izborima koje provodi Republika Hrvatska može glasovati hrvatski državljanin koji ima prebivalište u Australiji?

39. Tko prema Ustavu Republike Hrvatske imenuje privremenu nestranačku vladu ako se u ustavnome roku ne sastavi Vlada Republike Hrvatske?

40.  Tko prema Ustavu Republike Hrvatske, u slučaju izglasavanja nepovjerenja pojedinomu članu Vlade Republike Hrvatske, predlaže Hrvatskomu saboru novoga člana Vlade?

41. U kojemu se roku prema Ustavu Republike Hrvatske nakon provedenih izbora za Hrvatski sabor održava njegovo prvo zasjedanje?

42.  Politička stranka želi zakonom ograničiti pravo na javnu upotrebu jezika nacionalnih manjina. Kojom većinom prema Ustavu Republike Hrvatske zastupnici u Hrvatskome saboru moraju glasovati za taj prijedlog da bi se on usvojio?

43. Tko u Republici Hrvatskoj može prema Ustavu Republike Hrvatske dati pomilovanje osuđenicima?

44.   Koja je institucija u Republici Hrvatskoj ovlaštena predlagati i provoditi zakone te voditi unutarnju politiku?

45.  Koja institucija prema Ustavu Republike Hrvatske odlučuje o stegovnoj odgovornosti sudaca redovnih sudova?

46.  Koje tijelo može pokrenuti postupak oduzimanja imuniteta zastupnicima Hrvatskoga sabora kada Sabor nije na okupu?

47. Koje su jedinice lokalne samouprave?

48. Kojim se prvim hrvatskim pisanim dokumentom iz 13. stoljeća utvrđuju prava, dužnosti i odnosi kmetova, crkvenih poglavara i feudalaca?

49. Radniku nakon podmirenja svih obveza ostane 500,00 kn koje može uložiti u nabavu nove odjeće ili u putovanje. Kako se naziva trošak putovanja od kojega je radnik odustao jer je odabrao ulaganje u nabavu nove odjeće?

50.  Koja se tržišna funkcija ogleda u povećanoj prodaji jagoda iz domaćega uzgoja u odnosu na prodaju jagoda iz inozemstva?

51.  Kojom se politikom uz poreznu koristi fiskalna politika?

52.  Kako se naziva kupnja i prodaja državnih obveznica koje provodi središnja banka na tržištu kapitala koje je svima dostupno?

53.  Kako se naziva oblik bezgotovinskoga novca kojim se obavljaju transakcije upotrebom kreditne kartice?

54.  Kako se naziva naknada koju plaća gospodarstvenik za korištenje tuđih financijskih sredstava?

55.  Kojim se temeljnim zakonom u Republici Hrvatskoj propisuje osnivanje društva osoba i društva kapitala?

56.  Koji je, uz monopol i oligopol, oblik tržišne strukture nesavršene konkurencije na strani ponude?

57.  Zbog požarom opustošenoga vinogradarskog područja značajno je smanjena proizvodnja vina kontroliranoga podrijetla. Što će se dogoditi s cijenama toga vina u uvjetima potpune konkurencije i razine potražnje jednake prošlogodišnjoj?

58.  Kako se naziva osoba koja kupuje franšizu za proizvodnju i prodaju peciva?

59.  Kojemu obliku promidžbenih aktivnosti pripada sveobuhvatno plaćeno medijsko prezentiranje teniske opreme?

60. Koje zemlje pripadaju Europskomu sustavu središnjih banaka?
